代號,名稱,2026 Q3,2026 Q2,2026 Q1,2025 Q4,2025 Q3,2025 Q2,2025 Q1,2024 Q4,2024 Q3,2024 Q2,2024 Q1,2023 Q4,2023 Q3,2023 Q2,2023 Q1,2020 Q4,2020 Q3,2020 Q2,2020 Q1
3035,智原,-,AI1,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-
5269,祥碩,-,-,AI1,AI1/AI3,AI1,AI1,AI2,-,AI2,-,-,-,-,-,-,-,-,-,-
6669,緯穎,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-
6695,芯鼎,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-
6561,是方,-,AI1,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-
7765,中華資安,-,AI2,AI2,AI2,AI2,AI2,AI2,AI2,-,AI2,-,AI2,-,-,-,-,-,-,-
3150,鈺寶-創,-,-,AI2,AI2,AI2,AI2,AI2,AI2,AI2,-,-,-,-,-,-,-,-,-,-
2646,星宇航空,-,-,AI2,AI2,AI2,AI2,AI2,AI2,-,-,-,-,-,-,-,-,-,-,-
4953,緯軟,-,-,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-,-,-,-,-,-,-,-,-
6231,系微,-,-,AI1,AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-
9917,中保科,-,-,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-,-,-,-,-,-,-,-,-
3558,神準,-,-,AI1,AI1/AI3,AI1,AI1,AI1,-,AI1,-,-,-,-,-,-,-,-,-,-
2450,神腦,-,AI1,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-
2303,聯電,-,AI1,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-
7708,全家餐飲,-,-,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-,-,-,-,-,-,-,-,-
6613,朋億,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-
7703,銳澤,-,-,AI1,AI1/AI3,AI1,AI1,AI1,-,AI1,-,-,-,-,-,-,-,-,-,-
2353,宏碁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3158,嘉實,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-
6035,悠遊卡,-,-,-,-,-,AI2,-,AI2,-,-,-,-,-,-,-,-,-,-,-
7722,LINEPAY,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,AI2,-,-,-,-,-
5904,寶雅,-,AI2,AI2,AI2,AI2,AI2,AI2,-,AI2,-,-,-,-,-,-,-,-,-,-
6182,合晶,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-
6962,奕力-KY,-,-,AI1,AI1,AI1,-,AI1,-,AI1,-,-,-,-,-,-,-,-,-,-
7705,三商餐飲,-,-,AI1,AI1,AI1,AI1,AI1,-,-,-,-,-,-,-,-,-,-,-,-
3014,聯陽,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-
6720,久昌,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-
6757,台灣虎航,-,-,AI2,AI2,AI2,AI2,AI2,AI2,AI2,-,-,-,-,-,-,-,-,-,-
7794,宏碁智新,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6996,力領科技,-,-,AI2,AI2,AI2,AI2,AI2,AI2,AI2,AI2,AI2,AI2,-,AI2,-,-,-,-,-
8016,矽創,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-
8045,達運光電,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-
